"","Participant","Label","SliderResponse","Number","TrialType","Valence","LexicalType","ContextCondition","Group","Name","StudyLanguage","Nativeness"
"170",109,"expletive_test","99","4","test","neg","adj","TO","A","IAN4","Italian","L2"
"171",109,"expletive_test","99","11","filler","neg","adj","AO","A","INF11","Italian","L2"
"172",109,"expletive_test","99","18","filler","pos","adj","TO","A","INF18","Italian","L2"
"173",109,"expletive_test","0","9","test","pos","pej","NEU","A","IPP9","Italian","L2"
"174",109,"expletive_test","99","4","test","pos","adj","TO","A","IAP4","Italian","L2"
"175",109,"expletive_test","99","20","filler","pos","adj","AO","A","INF20","Italian","L2"
"176",109,"expletive_test","99","7","test","pos","pej","TO","A","IPP7","Italian","L2"
"177",109,"expletive_test","99","4","filler","neg","adj","TO","A","INF4","Italian","L2"
"178",109,"expletive_test","99","8","filler","neg","adj","AO","A","INF8","Italian","L2"
"179",109,"expletive_test","99","8","test","neg","pej","AO","A","IPN8","Italian","L2"
"180",109,"expletive_test","99","1","test","pos","pej","TO","A","IPP1","Italian","L2"
"181",73,"expletive_test","64","8","filler","neg","adj","AO","C","INF8","Italian","L2"
"182",73,"expletive_test","66","9","test","neg","pej","NEU","C","IPN9","Italian","L2"
"183",73,"expletive_test","23","5","test","neg","pej","AO","C","IPN5","Italian","L2"
"184",73,"expletive_test","28","13","filler","pos","adj","TO","C","INF13","Italian","L2"
"185",73,"expletive_test","61","9","test","neg","adj","NEU","C","IAN9","Italian","L2"
"186",73,"expletive_test","66","6","test","neg","adj","NEU","C","IAN6","Italian","L2"
"187",73,"expletive_test","33","6","test","neg","pej","NEU","C","IPN6","Italian","L2"
"188",73,"expletive_test","36","2","test","neg","adj","AO","C","IAN2","Italian","L2"
"189",73,"expletive_test","33","8","test","neg","adj","AO","C","IAN8","Italian","L2"
"190",73,"expletive_test","28","1","test","pos","pej","TO","C","IPP1","Italian","L2"
"191",73,"expletive_test","74","11","filler","neg","adj","AO","C","INF11","Italian","L2"
"192",73,"expletive_test","35","2","filler","neg","adj","TO","C","INF2","Italian","L2"
"193",73,"expletive_test","76","3","test","neg","pej","NEU","C","IPN3","Italian","L2"
"194",73,"expletive_test","11","1","test","pos","adj","TO","C","IAP1","Italian","L2"
"195",73,"expletive_test","64","16","filler","pos","adj","TO","C","INF16","Italian","L2"
"196",73,"expletive_test","61","19","filler","pos","adj","AO","C","INF19","Italian","L2"
"197",73,"expletive_test","0","8","test","neg","pej","AO","C","IPN8","Italian","L2"
"198",73,"expletive_test","15","23","filler","pos","adj","AO","C","INF23","Italian","L2"
"199",73,"expletive_test","87","4","test","pos","pej","TO","C","IPP4","Italian","L2"
"200",73,"expletive_test","79","6","test","pos","pej","NEU","C","IPP6","Italian","L2"
"201",73,"expletive_test","19","7","test","neg","adj","TO","C","IAN7","Italian","L2"
"202",73,"expletive_test","88","4","test","pos","adj","TO","C","IAP4","Italian","L2"
"203",73,"expletive_test","83","15","filler","pos","adj","TO","C","INF15","Italian","L2"
"204",73,"expletive_test","77","18","filler","pos","adj","TO","C","INF18","Italian","L2"
"205",73,"expletive_test","22","10","filler","neg","adj","AO","C","INF10","Italian","L2"
"206",73,"expletive_test","39","3","test","pos","adj","NEU","C","IAP3","Italian","L2"
"207",73,"expletive_test","79","8","test","pos","pej","AO","C","IPP8","Italian","L2"
"208",73,"expletive_test","83","9","test","pos","pej","NEU","C","IPP9","Italian","L2"
"209",73,"expletive_test","12","7","filler","neg","adj","AO","C","INF7","Italian","L2"
"210",73,"expletive_test","34","2","test","pos","pej","AO","C","IPP2","Italian","L2"
"211",73,"expletive_test","84","1","test","neg","adj","TO","C","IAN1","Italian","L2"
"212",73,"expletive_test","29","1","filler","neg","adj","TO","C","ITN1","Italian","L2"
"213",73,"expletive_test","67","7","test","pos","pej","TO","C","IPP7","Italian","L2"
"214",73,"expletive_test","96","12","filler","neg","adj","AO","C","INF12","Italian","L2"
"215",73,"expletive_test","10","4","test","neg","adj","TO","C","IAN4","Italian","L2"
"216",73,"expletive_test","35","4","test","neg","pej","TO","C","IPN4","Italian","L2"
"217",73,"expletive_test","30","3","test","neg","adj","NEU","C","IAN3","Italian","L2"
"218",73,"expletive_test","21","9","test","pos","adj","NEU","C","IAP9","Italian","L2"
"219",73,"expletive_test","70","21","filler","pos","adj","AO","C","INF21","Italian","L2"
"220",73,"expletive_test","31","5","test","neg","adj","AO","C","IAN5","Italian","L2"
"221",73,"expletive_test","87","20","filler","pos","adj","AO","C","INF20","Italian","L2"
"222",73,"expletive_test","91","14","filler","pos","adj","TO","C","INF14","Italian","L2"
"223",73,"expletive_test","74","6","filler","neg","adj","TO","C","INF6","Italian","L2"
"224",73,"expletive_test","49","7","test","neg","pej","TO","C","IPN7","Italian","L2"
"225",73,"expletive_test","54","3","test","pos","pej","NEU","C","IPP3","Italian","L2"
"226",73,"expletive_test","24","2","test","pos","adj","AO","C","IAP2","Italian","L2"
"227",73,"expletive_test","21","24","filler","pos","adj","AO","C","INF24","Italian","L2"
"228",73,"expletive_test","22","5","test","pos","pej","AO","C","IPP5","Italian","L2"
"229",73,"expletive_test","34","6","test","pos","adj","NEU","C","IAP6","Italian","L2"
"230",73,"expletive_test","39","5","test","pos","adj","AO","C","IAP5","Italian","L2"
"231",73,"expletive_test","76","7","test","pos","adj","TO","C","IAP7","Italian","L2"
"232",73,"expletive_test","56","17","filler","pos","adj","TO","C","INF17","Italian","L2"
"233",73,"expletive_test","39","22","filler","pos","adj","AO","C","INF22","Italian","L2"
"234",73,"expletive_test","52","3","filler","neg","adj","TO","C","INF3","Italian","L2"
"235",73,"expletive_test","57","5","filler","neg","adj","TO","C","INF5","Italian","L2"
"236",73,"expletive_test","72","2","test","neg","pej","AO","C","IPN2","Italian","L2"
"237",73,"expletive_test","72","4","filler","neg","adj","TO","C","INF4","Italian","L2"
"238",73,"expletive_test","27","9","filler","neg","adj","AO","C","INF9","Italian","L2"
"239",73,"expletive_test","59","1","test","neg","pej","TO","C","IPN1","Italian","L2"
"240",73,"expletive_test","35","8","test","pos","adj","AO","C","IAP8","Italian","L2"
"241",210,"expletive_test","71","2","test","pos","adj","AO","C","IAP2","Italian","L2"
"242",210,"expletive_test","45","8","test","neg","pej","AO","C","IPN8","Italian","L2"
"243",210,"expletive_test","98","1","test","pos","adj","TO","C","IAP1","Italian","L2"
"244",210,"expletive_test","21","3","test","neg","adj","NEU","C","IAN3","Italian","L2"
"245",210,"expletive_test","16","6","filler","neg","adj","TO","C","INF6","Italian","L2"
"246",210,"expletive_test","97","18","filler","pos","adj","TO","C","INF18","Italian","L2"
"247",210,"expletive_test","38","3","filler","neg","adj","TO","C","INF3","Italian","L2"
"248",210,"expletive_test","98","2","test","pos","pej","AO","C","IPP2","Italian","L2"
"249",210,"expletive_test","94","2","filler","neg","adj","TO","C","INF2","Italian","L2"
"250",210,"expletive_test","48","3","test","pos","adj","NEU","C","IAP3","Italian","L2"
"251",210,"expletive_test","93","6","test","pos","pej","NEU","C","IPP6","Italian","L2"
"252",210,"expletive_test","92","1","test","pos","pej","TO","C","IPP1","Italian","L2"
"253",210,"expletive_test","19","2","test","neg","pej","AO","C","IPN2","Italian","L2"
"254",210,"expletive_test","54","6","test","pos","adj","NEU","C","IAP6","Italian","L2"
"255",210,"expletive_test","62","5","test","pos","pej","AO","C","IPP5","Italian","L2"
"256",210,"expletive_test","62","9","test","pos","adj","NEU","C","IAP9","Italian","L2"
"257",210,"expletive_test","85","22","filler","pos","adj","AO","C","INF22","Italian","L2"
"258",210,"expletive_test","99","20","filler","pos","adj","AO","C","INF20","Italian","L2"
"259",210,"expletive_test","36","9","filler","neg","adj","AO","C","INF9","Italian","L2"
"260",210,"expletive_test","10","4","test","pos","adj","TO","C","IAP4","Italian","L2"
"261",210,"expletive_test","25","9","test","neg","pej","NEU","C","IPN9","Italian","L2"
"262",210,"expletive_test","99","1","test","neg","pej","TO","C","IPN1","Italian","L2"
"263",210,"expletive_test","99","1","filler","neg","adj","TO","C","ITN1","Italian","L2"
"264",210,"expletive_test","85","8","test","pos","pej","AO","C","IPP8","Italian","L2"
"265",210,"expletive_test","0","5","test","neg","pej","AO","C","IPN5","Italian","L2"
"266",210,"expletive_test","3","2","test","neg","adj","AO","C","IAN2","Italian","L2"
"267",210,"expletive_test","87","13","filler","pos","adj","TO","C","INF13","Italian","L2"
"268",210,"expletive_test","77","3","test","pos","pej","NEU","C","IPP3","Italian","L2"
"269",210,"expletive_test","15","7","filler","neg","adj","AO","C","INF7","Italian","L2"
"270",210,"expletive_test","7","1","test","neg","adj","TO","C","IAN1","Italian","L2"
"271",210,"expletive_test","8","5","test","pos","adj","AO","C","IAP5","Italian","L2"
"272",210,"expletive_test","40","8","filler","neg","adj","AO","C","INF8","Italian","L2"
"273",210,"expletive_test","29","23","filler","pos","adj","AO","C","INF23","Italian","L2"
"274",210,"expletive_test","85","15","filler","pos","adj","TO","C","INF15","Italian","L2"
"275",210,"expletive_test","91","4","filler","neg","adj","TO","C","INF4","Italian","L2"
"276",210,"expletive_test","96","5","filler","neg","adj","TO","C","INF5","Italian","L2"
"277",210,"expletive_test","2","12","filler","neg","adj","AO","C","INF12","Italian","L2"
"278",210,"expletive_test","9","9","test","neg","adj","NEU","C","IAN9","Italian","L2"
"279",210,"expletive_test","13","10","filler","neg","adj","AO","C","INF10","Italian","L2"
"280",210,"expletive_test","72","24","filler","pos","adj","AO","C","INF24","Italian","L2"
"281",210,"expletive_test","78","8","test","pos","adj","AO","C","IAP8","Italian","L2"
"282",210,"expletive_test","99","17","filler","pos","adj","TO","C","INF17","Italian","L2"
"283",210,"expletive_test","99","7","test","pos","pej","TO","C","IPP7","Italian","L2"
"284",210,"expletive_test","60","9","test","pos","pej","NEU","C","IPP9","Italian","L2"
"285",210,"expletive_test","99","4","test","pos","pej","TO","C","IPP4","Italian","L2"
"286",210,"expletive_test","0","3","test","neg","pej","NEU","C","IPN3","Italian","L2"
"287",210,"expletive_test","97","4","test","neg","adj","TO","C","IAN4","Italian","L2"
"288",210,"expletive_test","40","8","test","neg","adj","AO","C","IAN8","Italian","L2"
"289",210,"expletive_test","99","7","test","neg","pej","TO","C","IPN7","Italian","L2"
"290",210,"expletive_test","99","7","test","pos","adj","TO","C","IAP7","Italian","L2"
"291",210,"expletive_test","11","5","test","neg","adj","AO","C","IAN5","Italian","L2"
"292",210,"expletive_test","71","7","test","neg","adj","TO","C","IAN7","Italian","L2"
"293",210,"expletive_test","99","19","filler","pos","adj","AO","C","INF19","Italian","L2"
"294",210,"expletive_test","97","16","filler","pos","adj","TO","C","INF16","Italian","L2"
"295",210,"expletive_test","11","11","filler","neg","adj","AO","C","INF11","Italian","L2"
"296",210,"expletive_test","85","21","filler","pos","adj","AO","C","INF21","Italian","L2"
"297",210,"expletive_test","99","4","test","neg","pej","TO","C","IPN4","Italian","L2"
"298",210,"expletive_test","15","6","test","neg","pej","NEU","C","IPN6","Italian","L2"
"299",210,"expletive_test","3","6","test","neg","adj","NEU","C","IAN6","Italian","L2"
"300",210,"expletive_test","78","14","filler","pos","adj","TO","C","INF14","Italian","L2"
"301",170,"expletive_test","26","5","test","neg","pej","AO","A","IPN5","Italian","L2"
"302",170,"expletive_test","19","9","test","neg","pej","NEU","A","IPN9","Italian","L2"
"303",170,"expletive_test","40","4","test","neg","pej","TO","A","IPN4","Italian","L2"
"304",170,"expletive_test","79","20","filler","pos","adj","AO","A","INF20","Italian","L2"
"305",170,"expletive_test","77","1","filler","neg","adj","TO","A","ITN1","Italian","L2"
