"","X","Participant","Label","SliderResponse","Number","TrialType","Valence","LexicalType","ContextCondition","Group","Name","StudyLanguage","Nativeness"
"130",130,85,"expletive_test",99,2,"test","pos","pej","AO","A","IPP2","Italian","L1"
"131",131,85,"expletive_test",0,8,"test","pos","adj","AO","A","IAP8","Italian","L1"
"132",132,85,"expletive_test",99,5,"test","pos","adj","AO","A","IAP5","Italian","L1"
"133",133,85,"expletive_test",99,5,"filler","neg","adj","TO","A","INF5","Italian","L1"
"134",134,85,"expletive_test",99,19,"filler","pos","adj","AO","A","INF19","Italian","L1"
"135",135,85,"expletive_test",99,1,"test","neg","pej","TO","A","IPN1","Italian","L1"
"136",136,85,"expletive_test",99,2,"filler","neg","adj","TO","A","INF2","Italian","L1"
"137",137,85,"expletive_test",99,16,"filler","pos","adj","TO","A","INF16","Italian","L1"
"138",138,85,"expletive_test",99,10,"filler","neg","adj","AO","A","INF10","Italian","L1"
"139",139,85,"expletive_test",99,8,"test","neg","adj","AO","A","IAN8","Italian","L1"
"140",140,85,"expletive_test",99,4,"test","pos","pej","TO","A","IPP4","Italian","L1"
"141",141,85,"expletive_test",99,17,"filler","pos","adj","TO","A","INF17","Italian","L1"
"142",142,85,"expletive_test",99,5,"test","neg","adj","AO","A","IAN5","Italian","L1"
"143",143,85,"expletive_test",99,4,"test","neg","pej","TO","A","IPN4","Italian","L1"
"144",144,85,"expletive_test",99,1,"test","neg","adj","TO","A","IAN1","Italian","L1"
"145",145,85,"expletive_test",99,1,"test","pos","adj","TO","A","IAP1","Italian","L1"
"146",146,85,"expletive_test",99,5,"test","neg","pej","AO","A","IPN5","Italian","L1"
"147",147,85,"expletive_test",0,3,"test","pos","adj","NEU","A","IAP3","Italian","L1"
"148",148,85,"expletive_test",99,1,"filler","neg","adj","TO","A","ITN1","Italian","L1"
"149",149,85,"expletive_test",99,2,"test","neg","adj","AO","A","IAN2","Italian","L1"
"150",150,85,"expletive_test",99,7,"test","neg","pej","TO","A","IPN7","Italian","L1"
"151",151,85,"expletive_test",99,12,"filler","neg","adj","AO","A","INF12","Italian","L1"
"152",152,85,"expletive_test",99,7,"test","pos","adj","TO","A","IAP7","Italian","L1"
"153",153,85,"expletive_test",0,6,"test","pos","adj","NEU","A","IAP6","Italian","L1"
"154",154,85,"expletive_test",99,5,"test","pos","pej","AO","A","IPP5","Italian","L1"
"155",155,85,"expletive_test",99,3,"filler","neg","adj","TO","A","INF3","Italian","L1"
"156",156,85,"expletive_test",0,3,"test","neg","adj","NEU","A","IAN3","Italian","L1"
"157",157,85,"expletive_test",99,24,"filler","pos","adj","AO","A","INF24","Italian","L1"
"158",158,85,"expletive_test",99,21,"filler","pos","adj","AO","A","INF21","Italian","L1"
"159",159,85,"expletive_test",0,3,"test","pos","pej","NEU","A","IPP3","Italian","L1"
"160",160,85,"expletive_test",99,13,"filler","pos","adj","TO","A","INF13","Italian","L1"
"161",161,85,"expletive_test",99,7,"filler","neg","adj","AO","A","INF7","Italian","L1"
"162",162,85,"expletive_test",99,8,"test","pos","pej","AO","A","IPP8","Italian","L1"
"163",163,85,"expletive_test",99,15,"filler","pos","adj","TO","A","INF15","Italian","L1"
"164",164,85,"expletive_test",99,14,"filler","pos","adj","TO","A","INF14","Italian","L1"
"165",165,85,"expletive_test",0,9,"test","neg","pej","NEU","A","IPN9","Italian","L1"
"166",166,85,"expletive_test",0,6,"test","neg","adj","NEU","A","IAN6","Italian","L1"
"167",167,85,"expletive_test",0,9,"test","pos","adj","NEU","A","IAP9","Italian","L1"
"168",168,85,"expletive_test",0,6,"test","pos","pej","NEU","A","IPP6","Italian","L1"
"169",169,85,"expletive_test",0,3,"test","neg","pej","NEU","A","IPN3","Italian","L1"
"170",170,85,"expletive_test",99,4,"test","neg","adj","TO","A","IAN4","Italian","L1"
"171",171,85,"expletive_test",99,11,"filler","neg","adj","AO","A","INF11","Italian","L1"
"172",172,85,"expletive_test",99,18,"filler","pos","adj","TO","A","INF18","Italian","L1"
"173",173,85,"expletive_test",0,9,"test","pos","pej","NEU","A","IPP9","Italian","L1"
"174",174,85,"expletive_test",99,4,"test","pos","adj","TO","A","IAP4","Italian","L1"
"175",175,85,"expletive_test",99,20,"filler","pos","adj","AO","A","INF20","Italian","L1"
"176",176,85,"expletive_test",99,7,"test","pos","pej","TO","A","IPP7","Italian","L1"
"177",177,85,"expletive_test",99,4,"filler","neg","adj","TO","A","INF4","Italian","L1"
"178",178,85,"expletive_test",99,8,"filler","neg","adj","AO","A","INF8","Italian","L1"
"179",179,85,"expletive_test",99,8,"test","neg","pej","AO","A","IPN8","Italian","L1"
"180",180,85,"expletive_test",99,1,"test","pos","pej","TO","A","IPP1","Italian","L1"
"181",181,57,"expletive_test",64,8,"filler","neg","adj","AO","C","INF8","Italian","L1"
"182",182,57,"expletive_test",66,9,"test","neg","pej","NEU","C","IPN9","Italian","L1"
"183",183,57,"expletive_test",23,5,"test","neg","pej","AO","C","IPN5","Italian","L1"
"184",184,57,"expletive_test",28,13,"filler","pos","adj","TO","C","INF13","Italian","L1"
