"","Participant","Word","likert_arousal","likert_valence","StudyLanguage","Nativeness"
"327",3,"cattivo","6","2","Italian","L2"
"328",3,"crudele","7","2","Italian","L2"
"329",3,"inaffidabile","3","2","Italian","L2"
"330",3,"stronzo","7","3","Italian","L2"
"331",3,"indiscreta","5","4","Italian","L2"
"332",3,"buono","3","7","Italian","L2"
"333",3,"gentile","3","6","Italian","L2"
"334",3,"scrupolosa","7","6","Italian","L2"
"335",3,"meschina","8","3","Italian","L2"
"336",3,"saggia","2","6","Italian","L2"
"337",3,"positivo","3","8","Italian","L2"
"338",3,"negativo","7","2","Italian","L2"
"339",113,"negativo","4","3","Italian","L2"
"340",113,"tesoro","2","6","Italian","L2"
"341",113,"stronzo","6","2","Italian","L2"
"342",113,"paziente","2","8","Italian","L2"
"343",113,"gentile","1","9","Italian","L2"
"344",113,"crudele","6","2","Italian","L2"
"345",113,"saggia","2","7","Italian","L2"
"346",113,"osceno","3","2","Italian","L2"
"347",113,"positivo","4","6","Italian","L2"
"348",113,"elegante","4","5","Italian","L2"
"349",113,"bugiarda","5","3","Italian","L2"
"350",113,"buono","3","8","Italian","L2"
"351",113,"cattivo","6","3","Italian","L2"
"352",113,"cauta","2","5","Italian","L2"
"353",113,"meschina","5","4","Italian","L2"
"354",113,"leale","4","7","Italian","L2"
"355",113,"indiscreta","5","5","Italian","L2"
"356",113,"pigra","2","4","Italian","L2"
"357",113,"inaffidabile","6","2","Italian","L2"
"358",113,"scortese","6","2","Italian","L2"
"359",113,"scrupolosa","6","6","Italian","L2"
"360",113,"riservata","1","5","Italian","L2"
"361",113,"affidabile","2","6","Italian","L2"
"362",113,"sleale","5","2","Italian","L2"
"363",113,"santo","5","5","Italian","L2"
"364",113,"demone","6","5","Italian","L2"
"365",245,"riservata","3","6","Italian","L2"
"366",245,"cauta","2","6","Italian","L2"
"367",245,"meschina","6","2","Italian","L2"
"368",245,"cattivo","6","2","Italian","L2"
"369",245,"elegante","4","7","Italian","L2"
"370",245,"scrupolosa","3","7","Italian","L2"
"371",245,"scortese","6","2","Italian","L2"
"372",245,"bugiarda","6","2","Italian","L2"
"373",245,"saggia","3","8","Italian","L2"
"374",245,"inaffidabile","6","2","Italian","L2"
"375",245,"tesoro","5","9","Italian","L2"
"376",245,"stronzo","7","1","Italian","L2"
"377",245,"sleale","6","2","Italian","L2"
"378",245,"demone","7","2","Italian","L2"
"379",245,"pigra","4","3","Italian","L2"
"380",245,"positivo","4","8","Italian","L2"
"381",245,"negativo","5","2","Italian","L2"
"382",245,"leale","3","8","Italian","L2"
"383",245,"affidabile","3","8","Italian","L2"
"384",245,"indiscreta","6","2","Italian","L2"
"385",245,"crudele","7","1","Italian","L2"
"386",245,"buono","3","8","Italian","L2"
"387",245,"gentile","3","9","Italian","L2"
"388",245,"osceno","7","2","Italian","L2"
"389",245,"santo","3","8","Italian","L2"
"390",245,"paziente","2","8","Italian","L2"
"391",178,"inaffidabile","4","2","Italian","L2"
"392",178,"demone","7","2","Italian","L2"
"393",178,"positivo","3","8","Italian","L2"
"394",178,"indiscreta","6","2","Italian","L2"
