"","Participant","Word","likert_arousal","likert_valence","Language"
"523",77,"saggia","2","7","Italian"
"524",77,"affidabile","4","7","Italian"
"525",77,"tesoro","7","5","Italian"
"526",77,"stronzo","5","4","Italian"
"527",77,"scortese","8","1","Italian"
"528",77,"scrupolosa","8","8","Italian"
"529",77,"elegante","7","9","Italian"
"530",77,"cauta","6","3","Italian"
"531",77,"positivo","2","9","Italian"
"532",77,"demone","9","7","Italian"
"533",77,"leale","9","9","Italian"
"534",77,"meschina","6","3","Italian"
"535",77,"pigra","7","8","Italian"
"536",77,"riservata","1","7","Italian"
"537",77,"sleale","9","1","Italian"
"538",77,"cattivo","7","2","Italian"
"539",77,"osceno","8","4","Italian"
"540",77,"paziente","1","9","Italian"
"541",77,"negativo","1","1","Italian"
"542",77,"gentile","7","9","Italian"
"543",77,"indiscreta","1","1","Italian"
"544",77,"santo","5","9","Italian"
"545",77,"bugiarda","9","1","Italian"
"546",77,"inaffidabile","9","1","Italian"
"547",50,"bugiarda","8","2","Italian"
"548",50,"paziente","1","8","Italian"
"549",50,"affidabile","1","8","Italian"
"550",50,"inaffidabile","7","2","Italian"
"551",50,"meschina","8","1","Italian"
"552",50,"saggia","1","9","Italian"
"553",50,"riservata","2","7","Italian"
"554",50,"scrupolosa","2","7","Italian"
"555",50,"demone","8","1","Italian"
"556",50,"pigra","5","3","Italian"
"557",50,"cattivo","8","2","Italian"
"558",50,"leale","1","8","Italian"
"559",50,"tesoro","1","9","Italian"
"560",50,"positivo","1","8","Italian"
"561",50,"cauta","4","5","Italian"
"562",50,"stronzo","8","1","Italian"
"563",50,"sleale","7","3","Italian"
"564",50,"buono","1","9","Italian"
"565",50,"negativo","6","2","Italian"
"566",50,"elegante","3","7","Italian"
"567",50,"santo","4","7","Italian"
"568",50,"crudele","7","2","Italian"
"569",50,"scortese","7","3","Italian"
"570",50,"indiscreta","6","4","Italian"
"571",50,"gentile","1","9","Italian"
"572",50,"osceno","7","2","Italian"
"573",53,"cauta","5","7","Italian"
"574",53,"gentile","6","7","Italian"
"575",53,"paziente","7","8","Italian"
"576",53,"sleale","8","1","Italian"
"577",53,"indiscreta","5","2","Italian"
"578",53,"scortese","7","1","Italian"
"579",53,"leale","3","9","Italian"
"580",53,"inaffidabile","6","2","Italian"
"581",53,"osceno","4","1","Italian"
"582",53,"positivo","6","8","Italian"
"583",53,"bugiarda","4","1","Italian"
"584",53,"negativo","4","2","Italian"
"585",53,"stronzo","5","1","Italian"
"586",53,"saggia","5","7","Italian"
"587",53,"pigra","4","3","Italian"
"588",53,"cattivo","5","3","Italian"
"589",53,"crudele","5","1","Italian"
"590",53,"santo","5","7","Italian"
"591",53,"scrupolosa","5","5","Italian"
"592",53,"tesoro","6","6","Italian"
"593",53,"affidabile","6","8","Italian"
"594",53,"buono","5","8","Italian"
"595",53,"demone","5","1","Italian"
"596",53,"meschina","4","1","Italian"
"597",53,"riservata","5","6","Italian"
"598",53,"elegante","6","8","Italian"
"599",6,"meschina","4","2","Italian"
"600",6,"pigra","3","4","Italian"
"601",6,"sleale","7","2","Italian"
"602",6,"gentile","1","9","Italian"
"603",6,"leale","1","9","Italian"
"604",6,"elegante","4","7","Italian"
"605",6,"scrupolosa","2","9","Italian"
"606",6,"santo","1","9","Italian"
"607",6,"inaffidabile","7","1","Italian"
"608",6,"saggia","1","9","Italian"
"609",6,"demone","6","4","Italian"
"610",6,"indiscreta","8","2","Italian"
"611",6,"cauta","1","7","Italian"
"612",6,"affidabile","1","9","Italian"
"613",6,"paziente","1","9","Italian"
"614",6,"cattivo","8","1","Italian"
"615",6,"riservata","1","9","Italian"
"616",6,"tesoro","1","9","Italian"
"617",6,"bugiarda","9","1","Italian"
"618",6,"positivo","1","9","Italian"
"619",6,"crudele","9","1","Italian"
"620",6,"negativo","5","3","Italian"
"621",6,"buono","1","8","Italian"
"622",6,"osceno","6","4","Italian"
"623",6,"scortese","6","2","Italian"
"624",6,"stronzo","5","3","Italian"
"625",243,"sleale","7","1","Italian"
"626",243,"cauta","2","7","Italian"
"627",243,"stronzo","9","1","Italian"
"628",243,"affidabile","1","7","Italian"
"629",243,"osceno","6","4","Italian"
"630",243,"saggia","1","9","Italian"
"631",243,"cattivo","5","5","Italian"
"632",243,"santo","3","4","Italian"
"633",243,"scrupolosa","3","6","Italian"
"634",243,"positivo","6","7","Italian"
"635",243,"paziente","1","9","Italian"
"636",243,"gentile","3","8","Italian"
"637",243,"elegante","5","5","Italian"
"638",243,"inaffidabile","6","3","Italian"
"639",243,"crudele","8","1","Italian"
"640",243,"buono","2","7","Italian"
"641",243,"riservata","5","6","Italian"
"642",243,"indiscreta","4","4","Italian"
"643",243,"meschina","6","3","Italian"
"644",243,"bugiarda","7","2","Italian"
"645",243,"demone","5","5","Italian"
"646",243,"pigra","3","6","Italian"
"647",243,"tesoro","6","7","Italian"
"648",243,"negativo","4","4","Italian"
"649",243,"scortese","6","2","Italian"
"650",243,"leale","1","7","Italian"
"651",169,"elegante","4","8","Italian"
"652",169,"osceno","3","1","Italian"
"653",169,"positivo","4","8","Italian"
"654",169,"inaffidabile","5","1","Italian"
"655",169,"scrupolosa","4","7","Italian"
"656",169,"scortese","1","1","Italian"
"657",169,"affidabile","4","8","Italian"
"658",169,"paziente","2","7","Italian"
"659",169,"riservata","2","7","Italian"
"660",169,"demone","2","1","Italian"
"661",169,"cauta","3","7","Italian"
"662",169,"sleale","3","1","Italian"
"663",169,"leale","1","8","Italian"
"664",169,"meschina","4","1","Italian"
"665",169,"santo","3","7","Italian"
"666",169,"bugiarda","3","1","Italian"
"667",169,"gentile","2","7","Italian"
"668",169,"crudele","4","1","Italian"
"669",169,"pigra","1","1","Italian"
"670",169,"tesoro","2","7","Italian"
"671",169,"buono","2","7","Italian"
"672",169,"negativo","2","3","Italian"
"673",169,"stronzo","2","1","Italian"
"674",169,"indiscreta","3","5","Italian"
"675",169,"saggia","2","8","Italian"
"676",169,"cattivo","2","1","Italian"
"677",214,"osceno","6","3","Italian"
"678",214,"sleale","7","2","Italian"
"679",214,"cauta","3","6","Italian"
"680",214,"inaffidabile","6","3","Italian"
"681",214,"santo","4","6","Italian"
"682",214,"scortese","7","3","Italian"
"683",214,"scrupolosa","3","7","Italian"
"684",214,"leale","3","7","Italian"
"685",214,"stronzo","7","3","Italian"
"686",214,"gentile","2","8","Italian"
"687",214,"negativo","5","3","Italian"
"688",214,"riservata","3","7","Italian"
"689",214,"paziente","2","8","Italian"
"690",214,"crudele","7","2","Italian"
"691",214,"elegante","5","6","Italian"
"692",214,"bugiarda","6","3","Italian"
"693",214,"affidabile","2","8","Italian"
"694",214,"pigra","6","4","Italian"
"695",214,"buono","3","7","Italian"
"696",214,"meschina","7","2","Italian"
"697",214,"tesoro","3","7","Italian"
"698",214,"positivo","2","8","Italian"
"699",214,"indiscreta","7","3","Italian"
"700",214,"cattivo","6","2","Italian"
"701",214,"demone","5","5","Italian"
"702",214,"saggia","2","8","Italian"
"703",215,"stronzo","5","3","Italian"
"704",215,"sleale","5","2","Italian"
"705",215,"osceno","5","2","Italian"
"706",215,"scrupolosa","4","6","Italian"
"707",215,"positivo","3","8","Italian"
"708",215,"pigra","2","3","Italian"
"709",215,"cauta","4","5","Italian"
"710",215,"elegante","2","8","Italian"
"711",215,"riservata","3","6","Italian"
"712",215,"buono","1","9","Italian"
"713",215,"paziente","4","7","Italian"
"714",215,"inaffidabile","5","2","Italian"
"715",215,"leale","2","8","Italian"
"716",215,"cattivo","5","2","Italian"
